Date,Open,High,Low,Close,Volume,Adj Close
2005-12-22,2333.18,2336.50,2319.64,2323.66,119191600,2323.66
2005-12-21,2334.81,2335.27,2326.29,2332.67,123864000,2332.67
2005-12-20,2332.87,2333.25,2319.81,2328.72,109124800,2328.72
2005-12-19,2326.85,2334.50,2324.36,2326.55,107754800,2326.55
2005-12-16,2323.65,2333.03,2315.18,2325.53,124548200,2325.53
2005-12-15,2327.62,2334.69,2321.65,2325.73,109265200,2325.73
2005-12-14,2330.67,2335.50,2322.30,2324.38,113437900,2324.38
2005-12-13,2337.95,2337.95,2320.52,2323.97,138594400,2323.97
2005-12-12,2331.87,2338.04,2326.08,2331.40,216869000,2331.40
2005-12-09,2302.90,2326.42,2302.25,2321.10,148378200,2321.10
2005-12-08,2310.61,2315.79,2298.16,2305.71,163178000,2305.71
2005-12-07,2314.77,2316.77,2309.03,2311.81,155073200,2311.81
2005-12-06,2320.79,2321.03,2308.35,2308.35,144466800,2308.35
2005-12-05,2334.60,2339.94,2317.08,2332.61,114190200,2332.61
2005-12-02,2328.78,2334.86,2322.58,2332.52,195423600,2332.52
2005-12-01,2299.40,2314.62,2298.23,2310.99,162964400,2310.99
2005-11-30,2320.57,2322.76,2300.25,2300.25,258441800,2300.25
2005-11-29,2299.41,2307.85,2294.94,2302.88,111869400,2302.88
2005-11-28,2303.00,2308.54,2293.37,2308.54,91742800,2308.54
2005-11-25,2306.70,2307.74,2290.50,2295.73,77300800,2295.73
2005-11-24,2305.85,2309.40,2293.42,2306.31,122153400,2306.31
2005-11-23,2289.24,2299.64,2282.07,2296.52,149990000,2296.52
2005-11-22,2278.74,2280.44,2265.88,2278.04,142781400,2278.04
2005-11-21,2297.42,2304.15,2278.47,2282.50,151988600,2282.50
2005-11-18,2270.74,2293.20,2269.63,2293.20,215749000,2293.20
2005-11-17,2256.12,2262.14,2243.29,2261.49,136019600,2261.49
2005-11-16,2243.92,2255.12,2241.34,2254.46,141767400,2254.46
2005-11-15,2259.99,2260.99,2232.85,2240.49,159206600,2240.49
2005-11-14,2272.61,2272.61,2248.28,2254.15,142399400,2254.15
2005-11-11,2268.77,2273.06,2261.85,2266.03,176604400,2266.03
2005-11-10,2271.90,2273.05,2249.20,2258.25,159358800,2258.25
2005-11-09,2269.89,2273.21,2256.89,2270.33,145642000,2270.33
2005-11-08,2258.91,2271.99,2255.34,2271.99,134878000,2271.99
2005-11-07,2268.76,2268.93,2248.48,2257.08,138140800,2257.08
2005-11-04,2265.81,2279.50,2258.24,2266.52,255925200,2266.52
2005-11-02,2226.71,2256.94,2226.71,2255.54,180777600,2255.54
2005-11-01,2206.11,2216.77,2206.11,2216.77,205848000,2216.77
2005-10-31,2206.11,2226.66,2205.84,2216.77,205848000,2216.77
2005-10-28,2197.48,2207.55,2190.07,2192.41,162849600,2192.41
2005-10-27,2234.78,2238.47,2197.73,2201.90,187752600,2201.90
2005-10-26,2227.95,2236.32,2226.02,2228.79,178148000,2228.79
2005-10-25,2246.16,2252.97,2225.23,2226.46,171615400,2226.46
2005-10-24,2249.57,2254.19,2222.83,2222.83,135740000,2222.83
2005-10-21,2208.63,2247.30,2200.75,2239.36,247052200,2239.36
2005-10-20,2239.72,2252.45,2223.67,2226.88,175969400,2226.88
2005-10-19,2280.13,2280.13,2218.13,2218.13,296598400,2218.13
2005-10-18,2288.96,2290.60,2272.51,2284.16,168154800,2284.16
2005-10-17,2312.63,2313.50,2284.68,2288.54,124317600,2288.54
2005-10-14,2322.79,2328.67,2299.79,2303.24,142069200,2303.24
2005-10-13,2318.62,2324.93,2306.99,2320.70,157123200,2320.70
2005-10-12,2353.15,2353.15,2320.53,2320.53,172683200,2320.53
2005-10-11,2346.80,2356.02,2336.23,2355.02,172285400,2355.02
2005-10-10,2307.19,2346.72,2307.19,2343.39,309988600,2343.39
2005-10-07,2289.27,2307.52,2286.79,2305.24,192111400,2305.24
2005-10-06,2311.63,2312.53,2284.11,2289.47,194872000,2289.47
2005-10-05,2319.52,2325.89,2314.48,2325.89,194919200,2325.89
2005-10-04,2305.63,2323.77,2298.55,2323.77,150885600,2323.77
2005-10-03,2302.03,2312.15,2297.01,2301.49,98942000,2301.49
2005-09-30,2313.50,2314.95,2301.64,2305.14,214185400,2305.14
2005-09-29,2292.25,2306.38,2288.56,2299.29,164163400,2299.29
2005-09-28,2306.48,2308.29,2298.83,2301.84,172775800,2301.84
2005-09-27,2318.48,2318.48,2303.36,2306.50,119450400,2306.50
2005-09-26,2298.51,2317.73,2295.76,2317.58,146177200,2317.58
2005-09-23,2293.09,2295.92,2283.50,2293.04,122387200,2293.04
2005-09-22,2291.06,2296.54,2284.57,2290.68,207380800,2290.68
2005-09-21,2298.96,2310.86,2295.80,2298.65,199467800,2298.65
2005-09-20,2295.89,2312.59,2291.98,2307.42,203317400,2307.42
2005-09-19,2303.95,2308.26,2296.99,2298.50,106608200,2298.50
2005-09-16,2322.80,2323.24,2306.38,2306.38,91936000,2306.38
2005-09-15,2315.32,2319.32,2311.84,2317.67,92248800,2317.67
2005-09-14,2310.83,2319.94,2309.37,2313.35,118507400,2313.35
2005-09-13,2318.18,2320.17,2308.90,2310.35,105124000,2310.35
2005-09-12,2315.40,2325.11,2305.34,2325.11,142946400,2325.11
2005-09-09,2299.06,2302.32,2292.43,2301.28,99634800,2301.28
2005-09-08,2297.53,2297.90,2288.79,2297.90,115555600,2297.90
2005-09-07,2304.93,2308.53,2295.42,2296.90,121318800,2296.90
2005-09-06,2297.39,2302.53,2283.32,2289.37,160069200,2289.37
2005-09-05,2298.34,2300.12,2286.70,2293.97,185052800,2293.97
2005-09-02,2297.46,2308.99,2290.51,2300.89,134900000,2300.89
2005-09-01,2289.58,2295.54,2281.38,2295.54,178511200,2295.54
2005-08-31,2269.98,2280.11,2265.86,2275.43,134878800,2275.43
